Compounds.ID	Name	Tags	Formula	RT_min	Calc_MW
c2290			C25 H42 N3 O6 P	7.124	511.27836
c757			C27 H34 N4 O6	9.425	510.24916
c2053			C78 H103 N6 O17 P	7.845	1426.71288
c1135	"1-{4-[(3-{[5-(2-Hydroxy-2-propanyl)-1,2-oxazol-3-yl]methyl}-3-oxetanyl)amino]-1-piperidinyl}ethanone"		C17 H27 N3 O4	7.856	359.18416
c4207			C67 H95 N4 O11 P	9.133	1162.67366
c2959	Not named		C22 H25 N3 O6	6.952	427.17375
c130	Adenosine		C10 H13 N5 O4	0.796	267.09578
c1361			C85 H101 N7 O12 P2	7.39	1473.69915
c1744			C20 H37 N10 O5 P	6.044	528.26939
c1865	"3-[(2,6-Dimethylheptanoyl)oxy]-4-(trimethylammonio)butanoate"		C16 H31 N O4	12.605	301.22529
c2569			C35 H55 N3 O4 P2 S	4.545	675.33989
c291			C44 H70 N7 O7 P3	6.902	901.4541
c2215			C44 H89 N9 O14 P2 S3	5.875	1125.51825
c3676			C31 H41 N8 O6 P	4.607	652.28791
c1564			C18 H43 N7 O4 P2	7.121	483.28364
c3552				7.551	2091.16971
c3801			C20 H45 N7 O9 P2	7.521	589.27775
c2008	1-Octen-3-yl 6-O-beta-D-xylopyranosyl-beta-D-glucopyranoside		C19 H34 O10	5.022	422.2151
c3858			C41 H69 N7 O8 P2	2.877	849.46955
c1656			C31 H51 N3 O13	4.327	673.34175
c3355				9.117	1691.8582
c4539				8.901	1220.6843
c3850				7.554	2092.17384
c4278			C18 H38 N10 O4 S2	5.574	522.24953
c3065			C14 H29 N5 O4	2.803	331.22101
c574	"2-{[(4,5-dimethoxy-2-nitrophenethyl)imino]methyl}phenol"		C17 H18 N2 O5	13.164	330.12212
c3545			C21 H48 N8 O13	6.788	620.33137
c89	"(5R)-2-(3,4-Dihydroxyphenyl)-N-{3-[(3-{(Z)-[(2,3-dihydroxyphenyl)(hydroxy)methylene]amino}propyl)amino]propyl}-5-methyl-4,5-dihydro-1,3-oxazole-4-carboximidic acid"		C24 H30 N4 O7	4.096	486.21016
c919	TMC-52A		C20 H30 N4 O6	4.342	422.21556
c1002			C14 H34 N9 O5 P	4.343	439.24224
c763	Leu-Leu		C12 H24 N2 O3	3.936	244.17862
c2302			C44 H60 N4 O8 S	4.754	804.4126
c2987			C17 H42 N9 O6 P S	4.875	531.27166
c692			C35 H70 N4 O7 P2 S	5.223	752.44175
c3306	Clavamycin F		C15 H24 N4 O7	7.545	372.16383
c610			C17 H30 N10 O2	4.344	406.25691
c1896			C25 H48 N5 O7 P	5.776	561.3289
c3039			C20 H46 N9 O5 P	5.005	523.33577
c3894			C28 H59 N8 O11 P3	6.011	776.35234
c3934				6.077	1179.61228
c3603	ile-his		C12 H20 N4 O3	1.034	268.15257
c1381	Maniwamycin F		C11 H21 N3 O3	6.242	243.15782
c3849			C26 H36 N6 O5	3.558	512.27365
c2375			C17 H37 N6 O4 P S	8.291	452.23363
c1330			C26 H34 N6 O4 S	5.829	526.23827
c2439			C16 H41 N10 O6 P S	4.292	532.26695
c1722			C72 H102 N8 O16 P2	3.706	1396.69018
c568			C81 H121 N4 O14 P3	8.57	1466.81036
c767			C14 H36 N9 O5 P	4.001	441.25823
c2405			C23 H41 N4 O10 P	3.628	564.25365
c1229			C37 H61 N9 O4 P2	7.508	757.4363
c2235			C71 H98 N5 O6 P3	5.444	1209.6721
c1325			C81 H108 N O17 P3	7.311	1459.682
c132	Barnesin A		C25 H37 N5 O5	4.508	487.2785
c1239			C29 H50 N2 O7 S3	4.972	634.27766
c2797			C56 H86 N6 O16	6.833	1098.60969
c3176			C61 H90 N2 O13 P2	6.837	1120.59207
c2013			C19 H34 N4 O5 S	4.475	430.2242
c1451			C36 H64 N6 O15	3.467	820.443
c799	"(4aR,7aS)-6-(Cyclopropylcarbonyl)-4-(3-pyridinylmethyl)hexahydropyrrolo[3,4-b][1,4]oxazin-3(2H)-one"		C16 H19 N3 O3	4.116	301.14188
c2724			C53 H90 N9 O15 P	8.772	1123.6298
c4885			C38 H53 N O2 P2	4.071	617.35294
c486			C89 H133 N7 O14 P2 S	9.194	1617.91078
c4459	Serinolamide A		C23 H45 N O3	17.458	383.33926
c48			C26 H44 N6 O7	4.341	552.32605
c625	"Bis(3,5,5-trimethylhexyl) phthalate"		C26 H42 O4	18.785	418.3079
c1281			C38 H60 N8 O3 P2	5.806	738.42691
c3550			C15 H32 N2 O3	10.434	288.2408
c1487			C44 H75 N9 O8 P2	2.599	919.52181
c1990			C26 H46 N6 O7	4.97	554.34204
c3813			C28 H66 N10 O13 S	6.994	782.45192
c3701			C23 H43 N3 O4 S2	4.057	489.26738
c4651			C58 H92 N8 O18 P2 S	5.986	1282.57285
c3923			C38 H78 N5 O10 P S	3.255	827.52105
c3347			C31 H44 N3 O11 P	6.522	665.26879
c1500			C22 H35 N4 O9 P	4.344	530.21174
c1041			C24 H48 N3 O8 P	7.428	537.31685
c1026			C29 H58 N5 O9 P	6.49	651.39478
c2930			C37 H68 N9 O7 P3	4.17	843.44727
c3664				0.794	380.70204
c4736	Flocculosin		C40 H72 O18	8.462	840.47391
c4228			C47 H77 N7 O16 P2	3.555	1057.49074
c2927			C19 H45 N7 O7 P2	5.345	545.28459
c2189			C39 H55 N3 O5 S	5.184	677.38497
c1860				9.03	1626.87125
c1505			C18 H33 N8 O4 P	3.483	456.23635
c1499	5S-hydroxynorvaline-S-Ile		C11 H20 N2 O3	4.567	228.14702
c2500				15.116	2761.50086
c839			C25 H60 N10 O17	5.082	772.41276
c693	B-factor		C14 H22 N5 O7 P	3.529	403.12479
c1341			C31 H51 N3 O13	4.933	673.34202
c2134				4.909	336.67118
c4854	LNH		C16 H26 N6 O5	3.181	764.38138
c3727				6.705	1076.62274
c963			C24 H52 N3 O7 P	6.57	525.35242
c2726			C55 H94 N O14 P3	10.632	1085.59119
c664			C33 H65 N6 O11 P	5.219	752.44176
c4315				5.039	1341.73471
c3424			C28 H62 N9 O13 P	5.831	763.42113
c3812				6.788	391.2462
c1447			C12 H19 N6 O2 P	6.167	310.13113
c1069	Aspartocin E		C56 H87 N13 O20	7.327	1261.62348
c368			C31 H45 N7 O13	4.2	723.30566
c4522			C22 H44 N4 O4 P2 S	6.08	522.25845
c4810			C16 H34 N10 S2	4.551	430.24239
c3080			C20 H47 N10 O6 P	4.566	554.34211
c997			C21 H40 N9 O5 P	5.895	529.28976
c1609			C20 H26 N10 O3 S	4.905	486.19302
c3200				7.293	796.39121
c717				4.827	730.38956
c1706			C48 H78 N5 O16 P S	3.889	1043.49126
c660			C36 H64 N6 O13	4.056	788.45251
c3896			C21 H40 O2 P2	4.608	386.25244
c4088				5.466	337.67884
c3313			C68 H94 N6 O18 S	7.942	1314.63325
c2725			C19 H37 N8 O4 P	8.519	472.26904
c1536			C21 H30 N8 O3 S	5.359	474.21336
c691			C21 H36 N9 O6 P	6.485	541.2531
c136			C51 H74 N10 O7 P2	6.658	1000.52221
c473			C46 H73 N7 O12 P2 S2	5.546	1041.42354
c107	Lokisin Isomer	A;B	C64 H111 N11 O20	14.919	1353.79566
c2242			C30 H57 N7 O7 P2	3.527	689.37659
c4533			C27 H63 N8 O5 P3 S	5.786	704.38515
c1808				4.624	2234.11438
c1729			C15 H27 N3 O5	4.528	329.19415
c1941			C29 H63 N10 O4 P3	4.218	708.42657
c3969			C15 H25 N9 P2	5.86	393.17176
c1713				4.765	1383.69896
c1048			C73 H89 N3 O15 P2 S	1.072	1341.5496
c1872			C37 H43 N5 O10	5.766	717.30063
c270			C64 H109 N9 O14 P2 S	8.615	1321.73
c3226			C57 H74 N3 O11 P	8.546	1007.50731
c750				0.792	226.64688
c3947	Cyclo-[isoleucyl-prolyl-leucyl-alanyl]		C20 H34 N4 O4	7.393	394.25845
c534			C30 H57 N6 O9 P	5.783	676.39052
c2209			C27 H56 N5 O11 P	4.879	657.36836
c1606	Arg-Trp		C17 H24 N6 O3	4.841	360.191
c470			C22 H39 N5 O5	0.793	453.29382
c1557			C42 H67 N10 O8 P	7.973	870.4863
c2122				6.767	750.87325
c2040			C46 H89 N4 O17 P3	3.58	1062.54392
c1402	Halymecin G		C38 H68 O16	4.528	780.45263
c940			C7 H19 N9 O4	6.645	293.15525
c2126	NP-004917		C15 H26 O3	12.528	276.1726
c1386	Cyclo(D-Tyr- L-Leu)		C15 H20 N2 O3	4.531	276.14689
c2544			C14 H33 N5 O8	7.777	399.23216
c3030			C55 H97 N10 O5 P3 S4	5.771	1198.57338
c3156			C14 H25 N3 O4	4.111	299.18413
c3924			C25 H53 O12 P3	5.587	638.27235
c4734				4.118	602.28409
c1241	3-(6-aminopurin-9-yl)nonan-2-ol		C14 H23 N5 O	4.492	277.18897
c675	(3S)-3-{(Z)-[(3S)-3-{(Z)-[(3R)-3-Amino-1-hydroxy-4-methylpentylidene]amino}-1-hydroxybutylidene]amino}-5-methylhexanoic acid		C17 H33 N3 O4	5.587	343.24623
c3787				4.231	808.33768
c844			C15 H25 N9 O2	5.578	363.21485
c2051			C19 H34 N4 O5	4.066	398.25194
c672			C58 H69 N7 O5 S	5.737	975.50654
c116	NP-020534		C27 H31 N5 O2	6.178	457.24283
c2543			C22 H47 N4 O10 P S	4.345	590.27268
c649			C25 H54 N3 O7 P	7.485	539.36857
c3877			C60 H107 N8 O18 P3 S	3.588	1352.66312
c1062				1.063	532.27441
c2297			C26 H60 N9 O5 P3	14.515	671.39585
c2490			C23 H43 N4 O2 P S	1.046	470.2829
c595			C23 H35 N9 O3 S	5.241	517.25635
c1095	Matlystatin A		C22 H40 N4 O5	6.631	440.29963
c3244			C24 H39 N5 O13	3.633	605.25317
c1007	"N1-cyclohexyl-4-(4-fluorobenzyl)-1,4-diazepane-1-carbothioamide"		C19 H28 F N3 S	4.09	349.19654
c724	1-Tetrahydro-1H-pyrrol-1-yl-3-[3-(trifluoromethyl)-1H-pyrazol-1-yl]propan-2-ol		C11 H16 F3 N3 O	2.938	526.24812
c2097	Tolycaine		C15 H22 N2 O3	4.848	556.32566
c1523	"3,9-bis(acetyloxy)-2,6,6,13-tetramethyl-12-oxotetracyclo[11.2.1.0Âa,Âaâ°.0Â?,â·]hexadecan-8-yl benzoate"		C31 H40 O7	3.213	546.25409
c2348			C26 H61 N9 O15	4.833	739.42969
c2184			C54 H87 N5 O10 P2	5.318	1027.59327
c898			C17 H40 N2 O3 P2 S	5.553	414.22562
c152	Prolylleucine		C11 H20 N2 O3	4.913	228.14711
c2779			C24 H60 N10 O9 P2	3.854	694.4007
c2049	"2-methyl-3-(2-thienyl)-3,3a,4,5-tetrahydro-2H-benzo[g]indazole"		C16 H16 N2 S	1.089	268.09854
c1454			C32 H62 N3 O13 P	6.96	727.40088
c290	"2-Amino-3-hydroxy-N-[(6S,9R,10S,11Z,13R,18aS)-11-hydroxy-6,13-diisopropyl-2,5,9-trimethyl-1,4,7,14-tetraoxo-2,3,4,5,6,7,9,10,13,14,16,17,18,18a-tetradecahydro-1H-pyrrolo[2,1-i][1,4,7,10,13]oxatetraaza;cyclohexadecin-10-yl]-4-methylbenzenecarboximidic acid"		C31 H46 N6 O8	6.396	630.33716
c3125			C46 H48 N3 O2 P	4.401	705.34844
c988			C40 H70 N7 O6 P3	6.097	837.4585
c778			C26 H48 N3 O10 P	5.589	593.30471
c596			C23 H50 N3 O8 P	5.984	527.33174
c2788			C36 H57 N3 O12	7.551	723.39391
c3779	geranyl-PP		C20 H36 O7 P2	5.257	450.19315
c1918			C23 H41 N3 O9	4.816	503.28435
c1333	arg-ile		C12 H25 N5 O3	0.795	287.19465
c1277	5S-hydroxynorvaline-S-Ile		C11 H20 N2 O3	4.566	228.14707
c1642				3.723	718.36717
c815	Phomaligol A		C14 H20 O6	5.163	284.12536
c1304			C18 H38 N5 O8 P	4.199	483.24728
c823			C31 H53 N7 O9	5.121	667.38905
c2196				5.409	420.70822
c4672			C27 H51 N10 P3 S	6.494	640.32118
c1300			C68 H96 N9 O10 P3	4.511	1291.64982
c3805				9.09	1652.90488
c4143	Imazaquin		C17 H17 N3 O3	12.94	311.12594
c2759			C44 H65 N3 O8 P2	5.744	825.42223
c1059			C25 H60 N10 O7 P2	6.324	674.41062
c4807			C14 H26 N4 O3	3.363	298.19949
c3648			C26 H52 N4 O6 S2	0.783	580.33123
c1051			C24 H41 N5 O10	3.845	559.28446
c2568			C19 H38 N6 O4 S2	6.286	478.24202
c2702			C26 H56 N9 O10 P	5.164	685.38994
c2508			C41 H63 N3 O11 P2	3.982	835.39554
c2655			C14 H26 N6	15.177	278.22338
c4622				4.914	650.3993
c3571			C15 H38 N9 O5 P	3.553	455.27327
c934			C79 H90 N10 O16	5.298	1434.65308
c733	N1-(2-cyclohex-1-enylethyl)-2-methylhydrazine-1-carbothioamide		C10 H19 N3 S	1.029	213.13354
c3920				9.835	2845.52926
c2434			C18 H43 N3 O7 P2 S	5.904	507.23212
c3729	Golotimod		C16 H19 N3 O5	4.624	333.13181
c17			C44 H87 N10 O9 P3 S	7.546	1024.55884
c4828			C32 H52 N3 O8 P	8.153	637.34728
c791			C43 H64 N7 O4 P3 S	4.819	867.39577
c1016				9.043	1549.861
c2397				6.597	1153.65605
c1800	(-)-14-o-malonylindolactam V		C20 H25 N3 O5	3.985	387.17889
c3211			C88 H135 N6 O16 P S4	9.119	1690.85534
c4000			C31 H65 N7 O17	0.802	807.44307
c1072	(3S)-3-{(Z)-[(3S)-3-{(Z)-[(3R)-3-Amino-1-hydroxy-4-methylpentylidene]amino}-1-hydroxybutylidene]amino}-5-methylhexanoic acid		C17 H33 N3 O4	4.955	343.24644
c424			C19 H31 N5 O4	5.408	393.23674
c437			C19 H28 N4 O4	5.4	376.21017
c3208			C13 H37 N8 O4 P	5.446	400.26763
c4327			C37 H85 N9 O14 P2	7.69	941.56916
c3493			C9 H16 N O11 P	0.801	345.04631
c1117				7.425	1074.63369
c3815	"[Gly¹,D-Asp3,Dhb7]MC-LR"		C47 H70 N10 O12	6.725	966.51781
c558				9.087	1650.90325
c3927			C27 H56 N7 O12 P S	4.558	733.34659
c2338			C20 H46 N10 O6 P2	4.172	584.30901
c1367			C21 H38 N6 O6	0.791	470.28361
c1610	Benquoine		C14 H20 O2	10.674	220.1459
c1410				9.925	2184.22939
c3273	"(6Z,9Z,12Z,21R,27S)-24,27,30,30-Tetrahydroxy-24,30-dioxido-18-oxo-19,23,25,29-tetraoxa-24lambda~5~,30lambda~5~-diphosphatriaconta-6,9,12-trien-21-yl (4Z,7Z,10Z,13Z,16Z,19Z)-4,7,10,13,16,19-docosahexae;noate"		C46 H74 O13 P2	4.899	896.45848
c3113	(Z)-tetradec-7-enenitrile		C14 H25 N	8.133	207.19868
c4012			C17 H25 N3 O4	6.004	335.1843
c2360			C25 H41 N5 O3	6.501	459.32038
c793			C29 H36 N4 O5	6.967	520.26785
c3480			C15 H26 N4 O5	5.028	342.18907
c1832			C41 H65 N5 O16	6.621	883.4435
c1354	Not named		C15 H18 N2 O2	0.793	258.13562
c2988	PLH		C17 H27 N5 O4	2.658	365.20578
c4008			C23 H47 N9 O5 P2 S	5.823	623.29073
c1445			C40 H64 N5 O4 P3	6.751	771.41579
c1159			C45 H83 N4 O17 P	7.303	982.55004
c4195			C32 H59 N8 O6 P3	4.609	744.37929
c1732			C22 H48 N6 O4 P2 S	6.178	554.2956
c2648			C25 H50 N8 O8 P2	6.395	652.31999
c4578			C32 H44 S3	4.898	524.25829
c1288	5S-hydroxynorvaline-S-Ile		C11 H20 N2 O3	4.171	228.14689
c4478				7.931	1897.0753
c3451				6.793	1240.66262
c1889			C39 H66 N4 O14	6.609	814.45789
c3199			C36 H66 N9 O13 P	6.754	863.45349
c2376				4.614	2235.11971
c553	Natalenamide A		C19 H25 N3 O5	3.031	375.17872
c699			C31 H53 N7 O8	6.142	651.39439
c1070			C28 H55 N2 O6 P3 S	4.515	640.30016
c355			C20 H34 N4 O5	4.846	410.25236
c1008			C53 H83 N5 O17	8.048	1061.57769
c2305			C40 H76 N3 O9 P3	6.167	835.47998
c1943	(3S)-3-{(Z)-[(3S)-3-{(Z)-[(3R)-3-Amino-1-hydroxy-4-methylpentylidene]amino}-1-hydroxybutylidene]amino}-5-methylhexanoic acid		C17 H33 N3 O4	4.959	343.24657
c1721			C81 H92 N6 O9 P2	8.059	1354.64183
c3144			C31 H71 N9 O10 P2 S	4.873	823.45357
c1778				7.086	2183.06192
c4721				7.269	1146.63888
c1414	Cyclocarbamide B		C15 H22 N2 O4	3.735	294.15756
c517	Barnesin A		C25 H37 N5 O5	4.905	487.27872
c3559				9.029	1546.80575
c1631			C31 H56 N O5 P3 S	3.747	647.30901
c4203			C24 H49 O3 P3	4.097	478.28923
c4857			C25 H57 N6 O10 P	5.177	632.38828
c3093			C13 H35 N8 O4 P	5.441	398.25255
c4634			C68 H112 N9 O12 P3 S	5.964	1371.73578
c2325			C26 H50 N8 O9	3.489	618.37256
c280			C75 H116 N7 O18 P3 S	4.801	1527.73143
c363			C25 H40 N6 O8	5.049	552.28983
c3154			C22 H53 N9 O9 P2	5.867	649.34271
c467	Santacruzamate A		C15 H22 N2 O3	4.855	278.16264
c1465			C43 H68 N4 O6 P2	7.783	798.46411
c4040			C63 H100 N10 O17 P2 S2	7.636	1394.61809
c3693			C22 H49 N7 O5 S3	6.765	587.29575
c1734			C14 H30 N7 O4 P	4.149	391.21016
c2034			C13 H29 N9 O3 S	4.153	391.20973
c2394				4.633	1006.47428
c1638				7.428	2445.28667
c1904				8.248	494.76064
c1766			C24 H43 N5 O6	5.885	497.32069
c1977			C83 H135 N9 O18 P2 S2	9.091	1671.88026
c3506			C32 H59 N10 O3 P3	5.822	724.39805
c4703			C61 H92 N6 O18	5.546	1196.64641
c3286	NP-012836		C38 H61 N O8	6.844	697.40049
c2354			C54 H84 N5 O12 P3	8.716	1087.53536
c1942				8.291	479.75473
c1560			C19 H25 N3 O4	3.723	359.18366
c142			C37 H60 N5 O4 P3 S	3.531	763.35614
c40	"3-[(4-hydroxyphenyl)methyl]-octahydropyrrolo[1,2-a]pyrazine-1,4-dione"		C14 H16 N2 O3	3.495	260.11553
c1312	"2-[14-hydroxy-10,14-dimethyl-10-(4-methylpent-3-en-1-yl)-5-oxo-9,18-dioxa-4-azapentacyclo[13.2.1.0Â?,â¶.0â¸,Âaâ·.0ÂaÂa,Âaâ¶]octadeca-1(17),2(6),7-trien-4-yl]pentanedioic acid"		C28 H35 N O8	3.301	513.23592
c4575			C27 H62 N10 O7 P2	7.44	700.42742
c780			C26 H38 N4 O5	8.666	486.28513
c822				4.069	832.41612
c747			C66 H126 Br Cl2 N6 O8 P S3	15.118	1406.70898
c623			C34 H67 N6 O10 P	6.176	750.462
c1260			C28 H62 N8 O11 P2 S	4.419	780.37157
c3870			C45 H91 N6 O11 P3 S	6.554	1016.5685
c3939			C17 H28 N7 O4 P	5.81	425.19482
c3822			C89 H117 N9 O16	8.557	1567.85971
c3341			C66 H125 N4 O15 P	17.178	1244.88791
c744			C15 H27 N8 O3 P	6.826	398.19508
c286			C32 H64 N3 O15 P	0.795	761.40498
c2870			C26 H53 N O4	17.174	443.39675
c1003			C41 H76 N8 O18	4.24	968.52817
c2353			C26 H44 N6 O7	5.194	552.32605
c1529			C33 H51 N3 O5 P2 S	6.604	663.30392
c334			C52 H64 N5 O7 P	6.907	909.15794
c381			C33 H58 N O7 P3	3.845	673.33965
c2852				7.521	552.27878
c2940	Hydrolyzed Lokisin	A;B	C77 H120 N3 O12 P3	14.016	1371.80831
c384			C46 H61 N7 O3 P2	8.253	821.43046
c314	NP-008993		C18 H34 O4	13.069	296.23429
c4840			C23 H48 O13	6.948	532.30919
c3070			C38 H60 N8 O8 P2 S	4.829	850.37432
c36	Koreenceine C	C	C14 H27 N O	8.733	225.20925
c4164			C5 H5 Cl N4 O6 P2	19.712	313.93604
c1848	Jiangrine B		C18 H20 N2 O4	3.902	328.14216
c169			C27 H39 N5 O7	4.832	545.28423
c556			C53 H85 N8 O14 P	9.132	1088.58994
c2041			C18 H45 N4 O P3 S2	5.85	490.22674
c156			C22 H36 N6 O7	3.388	496.26334
c469			C5 H17 N8 O2 P	0.8	252.1214
c2611				3.86	1262.59775
c4813	Maristachone C		C18 H28 O4	14.52	308.19795
c447			C67 H118 N5 O13 P3 S	14.52	1325.76623
c4159			C7 H22 N7 O2 P	8.284	267.15753
c3352			C23 H38 N6 O5	4.113	478.28908
c2183	Norplicacetin		C24 H33 N5 O7	3.696	503.23676
c2052			C41 H81 N7 O16 P2	7.748	989.52272
c4083				7.13	1054.56577
c859			C34 H51 N7 O4 S	5.088	653.37334
c2512				4.503	243.63932
c1143			C20 H49 N10 O6 P3	4.971	618.30401
c4842				7.227	1980.97353
c1979			C30 H63 N9 O10 P2	6.574	771.41561
c358			C23 H44 N3 O P3	3.785	471.26866
c2814			C35 H62 N4 O4 S4	4.124	730.36301
c3777			C66 H101 N10 O9 P3	9.507	1270.69543
c3271			C55 H104 N O11 P S5	8.291	1145.59481
c4002				5.738	412.71126
c337				6.901	450.7269
c1375			C20 H42 N5 O8 P	5.549	511.2784
c1176			C21 H36 N6 O5	3.851	452.27382
c1701			C66 H125 N2 O17 P3 S	14.514	1342.79202
c1702			C54 H74 N5 O17 P	4.263	1095.48127
c3025			C50 H73 N9 O6 S2	8.026	959.51331
c3348	Darapladib		C36 H38 F4 N4 O2 S	4.621	666.26411
c809	"(3S,9aS)-3-benzyl-octahydro-1H-pyrido[1,2-a]pyrazin-1-one"		C15 H20 N2 O	1.063	266.13708
c758	Gln-Leu-Val-Pro		C21 H37 N5 O6	4.205	455.2734
c4135				6.261	455.23696
c3484				7.432	2446.28904
c3703			C24 H53 N7 O7 P2 S	5.974	645.32311
c35	MR-387-B		C25 H36 N4 O6	5.32	488.26282
c4544			C68 H71 N3 O6	6.631	1025.53415
c3280	Antimycin A15		C29 H42 N2 O9	5.635	562.28679
c168				8.247	606.3265
c3238			C38 H76 N5 O7 P3	4.624	807.49563
c1716			C47 H87 N4 O15 P3	3.748	1040.53741
c552	"(3S,9aS)-3-benzyl-octahydro-1H-pyrido[1,2-a]pyrazin-1-one"		C15 H20 N2 O	0.795	532.27418
c1806			C36 H50 N8 O4 P2 S	6.066	752.31515
c4589			C19 H27 N O9	3.32	413.16896
c4005			C17 H41 N8 O4 P	7.985	452.30023
c1185			C20 H32 N4 O5	4.649	408.23682
c428			C7 H N5 O17 P2 S2	5.406	552.82764
c305				7.633	2745.29629
c1010			C28 H46 N5 O10 P	5.42	643.29494
c3925			C17 H38 N10 O5 S	5.419	494.27343
c4028				6.572	2114.96786
c3722				6.755	385.70809
c547			C22 H48 N3 O7 P	6.049	497.32107
c2610			C38 H65 N2 O13 P3	4.831	850.37167
c2170			C72 H95 N O10 P2	5.547	1195.64334
c3748	Barnesin A		C25 H37 N5 O5	3.64	487.27877
c3685			C31 H57 N3 O12	6.578	663.39482
c1024	R-Chloroquine		C18 H26 Cl N3	8.486	319.18163
c2991			C42 H81 N3 O10 P2 S	6.783	881.51177
c1228			C18 H32 N4 O7 S	3.279	448.19812
c4018			C61 H80 N4 O11 P2	7.819	1106.52904
c2420	Serinolamides C		C21 H41 N O3	15.497	355.30745
c56	D-Isoleucyl-L-prolyl-L-tyrosyl-D-isoleucine		C26 H40 N4 O6	6.29	504.294
c2330			C30 H51 N3 O14	5.49	677.3365
c2771				3.59	765.36205
c2088			C28 H67 N9 O13 P2	5.379	799.43298
c2283	Leu-Leu		C12 H24 N2 O3	3.771	244.17842
c380			C27 H37 N5 O8	4.831	559.26333
c1801			C19 H32 N4 O5	4.579	396.23653
c2168			C28 H56 N9 O10 P	6.251	709.39007
c2309			C12 H24 N4 O3	4.009	272.18434
c1867				5.48	1452.77976
c4846			C27 H57 N4 O8 P	6.901	596.38954
c2470			C21 H43 N9 O4 P2	4.416	547.29241
c3445			C65 H100 N6 O17	9.459	1236.71459
c682			C17 H31 N5 O6	2.727	401.22686
c507			C55 H94 N6 O16 P2	5.424	1156.62063
c3277			C35 H69 N4 O14 P	5.739	800.45414
c3368			C21 H48 N10 O7	8.068	552.37219
c2148			C20 H35 N5 O6	4.64	441.25818
c761				14.504	662.88402
c828			C32 H70 N9 O15 P S	6.108	883.44529
c124	Diprotin B		C16 H29 N3 O4	4.111	327.21502
c674			C38 H68 N7 O6 P3	4.599	811.4424
c2621			C82 H118 N3 O14 P3	6.683	1461.78064
c3051			C27 H64 N7 O4 P3	4.438	643.42542
c737			C25 H52 N5 O7 P	3.854	565.35776
c1623			C16 H31 N3 O4 S	4.356	361.20278
c1476			C38 H65 N7 O17	4.675	891.44436
c52			C57 H88 N6 O10 P2	6.45	1078.60204
c589			C58 H86 N5 O8 P3 S	7.675	1105.54193
c1578				5.531	976.4524
c1053			C18 H30 N4 O5	3.699	382.22091
c216			C44 H61 N3 O6 P2	7.869	789.40544
c1289	"N-Benzyl-2-[(3R,4S)-3-{[5-(4-fluorophenyl)-1,2-oxazol-3-yl]methyl}-4-piperidinyl]acetamide"		C24 H26 F N3 O2	7.068	858.3786
c196				6.689	503.78235
c972			C51 H98 N7 O15 P3 S	6.132	1173.60491
c604				9.97	2610.45794
c3962			C32 H44 N3 O2 P3	6.337	595.26684
c3165			C21 H36 O9	5.869	432.23692
c3461			C20 H37 N2 O6 P	5.872	432.23703
c4378			C25 H36 N4 O5	9.022	472.26759
c1521	Spumigin C		C30 H40 N6 O8	4.203	612.2896
c4750			C68 H92 N3 O13 P S	4.476	1221.60918
c3089				3.726	979.51448
c3943				3.724	653.01023
c3214			C23 H57 N10 O2 P3 S2	4.89	662.32959
c1179	Cyclo-(L-Pro-L-Tyr-L-Pro-Val-)		C24 H32 N4 O5	3.341	456.23612
c2919			C24 H55 N9 O11 P2	5.028	707.35132
c593			C27 H55 N4 O10 P	4.014	626.36269
c1290			C77 H129 N6 O18 P3 S	8.559	1550.82932
c4046			C75 H112 N8 O15 P2 S	9.182	1458.74339
c385			C42 H74 N7 O5 P3 S	6.024	881.46717
c1818			C23 H48 N3 O9 P S	5.835	573.28266
c2351				3.703	288.18737
c3843			C43 H72 N5 O2 P3	9.63	783.49011
c1434	Cyclo(D-Tyr- L-Leu)		C15 H20 N2 O3	5.116	276.147
c2578			C32 H64 N10 O5 P2 S	6.817	762.42637
c938			C28 H47 N5 O13	3.619	661.31714
c2835			C10 H17 N5 O4	4.172	271.1274
c869			C21 H36 N6 O5	4.05	452.27376
c238			C67 H104 N2 O14 P2	8.952	1222.6963
c1955	"[D-Met1,D-Asp3]MC-LR"		C50 H76 N10 O12 S	6.976	1040.53598
c249				9.011	384.73644
c1704	"1,3-Diphenylacetone"		C15 H14 O	2.543	227.12664
c1681			C31 H47 N4 O2 P S	4.51	570.31548
c1038			C17 H25 N3 O4	4.053	335.18364
c4039			C61 H90 N3 O8 P3	10.629	1085.59434
c66			C90 H116 N8 O15	9.116	1548.85574
c462			C24 H34 N4 O7	5.309	490.2418
c1602				3.846	874.4636
c4830			C26 H44 N3 O7 P	7.393	541.29003
c3217			C22 H58 N9 O11 P3	3.421	717.34676
c3851				3.751	556.25185
c4019	(S)-methyl-2-acetamido-4-(2-(methylamino)phenyl)-4-oxobutanoate		C14 H18 N2 O4	3.731	278.12595
c1136			C20 H44 N8 O10	5.163	556.32081
c1929			C56 H89 N7 O12 P2	7.198	1113.60582
c1111			C49 H80 N4 O15 P2	7.853	1026.51104
c1599			C16 H31 N3 O4	4.7	329.23133
c2954				8.03	1114.56651
c979	"N-(2-Methoxyethyl)-3-{5-[(2S)-1-methyl-2-pyrrolidinyl]-1,2,4-oxadiazol-3-yl}-2-pyridinamine"		C15 H21 N5 O2	2.632	303.16892
c8			C27 H40 N10 O3	5.408	552.3262
